,,
312,2,SILVER WOODS COUNTRY ESTATE
313,15,SILVERTON
314,8,SILVERTON extension 1 12 4 64
315,15,SILVERTON extension 11 14 15 17 28 36 40 42 44 46 48 5 50 52 54 56 58 60 63 7 8
316,13,SILVERTON extension 13 14 28 3 6 9
317,8,SILVERTONDALE
318,8,SILVERTONDALE extension 1 2
319,16,SINOVILLE
320,16,SINOVILLE extension 2 20 21 27 28 29 3 30 31 35 4 6
321,7,SIX FOUNTAINS
322,7,SIX FOUNTAINS extension 1 4 5 6 7
323,4,SOSHANGUVE EAST
324,4,SOSHANGUVE EAST extension 3 4 5 6 8
325,4,SOSHANGUVE SOUTH
326,4,SOSHANGUVE SOUTH extension 1 10 11 12 13 14 2 3 4 5 8 9
327,4,SOSHANGUVE-A
328,4,SOSHANGUVE-AA
329,4,SOSHANGUVE-B
330,4,SOSHANGUVE-BB
331,4,SOSHANGUVE-BB extension 1
332,4,SOSHANGUVE-CC
333,4,SOSHANGUVE-DD
334,4,SOSHANGUVE-EE
335,4,SOSHANGUVE-F
336,4,SOSHANGUVE-FF
337,4,SOSHANGUVE-G
338,4,SOSHANGUVE-GG
339,4,SOSHANGUVE-H
340,4,SOSHANGUVE-H extension 1
341,4,SOSHANGUVE-HH
342,4,SOSHANGUVE-IA
343,4,SOSHANGUVE-JJ
344,4,SOSHANGUVE-K
345,4,SOSHANGUVE-KK
346,4,SOSHANGUVE-KK extension 1
347,4,SOSHANGUVE-L
348,4,SOSHANGUVE-L extension 1 
349,4,SOSHANGUVE-LL
350,4,SOSHANGUVE-M
351,4,SOSHANGUVE-M extension 1
352,4,SOSHANGUVE-NN
353,4,SOSHANGUVE-P
354,4,SOSHANGUVE-PP extension 1 2 3
355,4,SOSHANGUVE-R
356,4,SOSHANGUVE-S
357,4,SOSHANGUVE-SS extension 1 3 4
358,4,SOSHANGUVE-T
359,4,SOSHANGUVE-TT
360,4,SOSHANGUVE-UU
361,4,SOSHANGUVE-V
362,4,SOSHANGUVE-V extension 1
363,4,SOSHANGUVE-VV
364,4,SOSHANGUVE-W
365,4,SOSHANGUVE-WW
366,4,SOSHANGUVE-X
367,4,SOSHANGUVE-XX
368,4,SOSHANGUVE-Y
369,4,SOSHANGUVE-YY
370,4,SOSHANGUVE-ZZ
371,8,STERREWAG extension 2 3
372,10,SUIDERBERG
373,16,SUIDERBERG
374,14,SUNDERLAND RIDGE
375,14,SUNDERLAND RIDGE extension 1 10 11 13 17 20 22 23 24
376,7,SUNDERLAND RIDGE extension 25
377,3,SUNNYSIDE
378,7,TAMARA PARK
379,7,THABA TSHWANE
380,7,THE HILLS extension 3 4 5 6
381,10,THE ISLANDS ESTATE extension 1 2
382,3,THE ORCHARDS
383,3,THE ORCHARDS extension 10 11 13 16 17 2 21 24 26 3 30 31 33 34 36 37 38 47 5 50 51 53 55 56 57 58 6 63 64 67 69 76 77 9
384,13,THE REED
385,13,THE REEDS extension 1 10 14 15 17 19 2 20 24 25 26 27 28 29 3 30 31 32 33 34 35 36 37 38 41 43 44 45 5 6 9
386,10,THERESAPARK extension 1 10 11 14 15 2 21 25 34 35 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 54 58 59 6
387,2,TIJGER VALLEI
388,2,TIJGER VALLEI extension 1 10 11 13 15 16 17 18 2 20 21 24 26 27 3 34 35 36 37 38 39 40 41 42 44 5 6 60 61 66 7 8 9
389,10,TILEBA
390,3,TREVENNA
391,13,VAL-DE-GRACE
392,13,VAL-DE-GRACE extension 10 11 12 3 4 5 6 7 8 9
393,7,VALHALLA
394,7,VILLAROSA
395,11,VILLIERIA
396,15,WALTLOO
397,15,WALTLOO extension 1 2
398,2,WAPADRAND extension 1 10 11 12 18 21 27 29 31 32 34 36 4 43 44 5 6 8
399,13,WAPADRAND extension 17 3
400,11,WATERKLOOF extension 1 2
401,3,WATERKLOOF GLEN
402,3,WATERKLOOF GLEN extension 1 11 2 3 4 5 6 8
403,3,WATERKLOOF HEIGHTS extension 1 14 18 2 3 4 5 7 8
404,8,WATERKLOOF HEIGHTS extension 18
405,8,WATERKLOOF RIDGE
406,8,WATERKLOOF RIDGE extension 2
407,3,WATERKLOOFPARK
408,3,WATERKLOOFPARK extension 2
409,8,WAVERLEY
410,8,WAVERLEY extension 1
411,8,WEAVIND PARK
412,14,WEST PARK
413,14,WIERDAPARK
414,14,WIERDAPARK extension 1 5 6
415,13,WIERDAPARK extension 2 
416,2,WILLOW ACRES extension 10 11 12 14 15 17 18 3 4 5 7 8 9
417,13,WILLOW PARK MANOR
418,13,WILLOW PARK MANOR extension 1 2 41 42 43 44 46 47 48 5 50 52 53 54 55 56 57 58 59 60 63 64 66 71 72 73 74 9
419,15,WILLOW PARK MANOR extension 65
420,8,WINGATE PARK
421,8,WINGATE PARK extension 1 2
422,4,WINTERVELD extension 3
423,10,WOLMER
424,10,WOLMER extension 1 
425,16,WONDERBOOM
426,16,WONDERBOOM extension 1 2 3 4 8 9
427,11,WONDERBOOM SOUTH
428,16,WONDERBOOM SOUTH
429,10,XANADU
430,10,XANADU extension 10 11 12 13 2 3 4 5 6 7 8 9
431,10,ZILKAATSNEK WILDLIFE ESTATE
432,10,ZILKAATSNEK WILDLIFE ESTATE extension 1 2
433,5,ZITHOBENI
434,5,ZITHOBENI extension 2 3 4 5 6 7
435,11,ZWARTKOP extension 26
436,14,ZWARTKOP extension 7
